state,indicator,standardized_coefficient,abs_coefficient,target_transform
CA,payroll,0.43448681287785607,0.43448681287785607,qoq_ann
CA,coincident,0.2657070727145905,0.2657070727145905,qoq_ann
CA,permits,-0.20690049858671386,0.20690049858671386,qoq_ann
CA,business_formations,0.16610981829758312,0.16610981829758312,qoq_ann
CA,claims,0.13737988694705916,0.13737988694705916,qoq_ann
CA,national_activity,0.0572985586332492,0.0572985586332492,qoq_ann
TX,payroll,0.47797511392272546,0.47797511392272546,qoq_ann
TX,claims,-0.21963754675799663,0.21963754675799663,qoq_ann
TX,national_activity,0.17394408409916384,0.17394408409916384,qoq_ann
TX,business_formations,0.13970327931304025,0.13970327931304025,qoq_ann
TX,permits,0.03558609617542731,0.03558609617542731,qoq_ann
TX,coincident,0.033216461389058864,0.033216461389058864,qoq_ann
