date,state,indicator,contribution,target_transform
2015-06-30,AL,payroll,0.4158462326553299,qoq_ann
2015-06-30,AL,coincident,-0.9936468222634465,qoq_ann
2015-06-30,AL,claims,-0.05531684907821098,qoq_ann
2015-06-30,AL,national_activity,-1.224167703166768,qoq_ann
2015-09-30,AL,payroll,0.11211764875015816,qoq_ann
2015-09-30,AL,coincident,-0.8567658664573953,qoq_ann
2015-09-30,AL,claims,-0.355872769061553,qoq_ann
2015-09-30,AL,national_activity,-1.139114156327745,qoq_ann
2015-12-31,AL,payroll,0.2944447995460745,qoq_ann
2015-12-31,AL,coincident,-0.19960587911534203,qoq_ann
2015-12-31,AL,claims,-0.005023040892078389,qoq_ann
2015-12-31,AL,national_activity,-1.0639835232866062,qoq_ann
2016-03-31,AL,payroll,-0.20529009726270947,qoq_ann
2016-03-31,AL,coincident,-0.33414759688982576,qoq_ann
2016-03-31,AL,claims,-0.28867516440028745,qoq_ann
2016-03-31,AL,national_activity,-0.9871518193086872,qoq_ann
2016-06-30,AL,payroll,-0.22130028646087993,qoq_ann
2016-06-30,AL,coincident,-0.5586440679171021,qoq_ann
2016-06-30,AL,claims,-0.036001424804454805,qoq_ann
2016-06-30,AL,national_activity,-0.9174079109006866,qoq_ann
2016-09-30,AL,payroll,0.46336317518981146,qoq_ann
2016-09-30,AL,coincident,-1.0590660610913984,qoq_ann
2016-09-30,AL,claims,-0.33115221671170697,qoq_ann
2016-09-30,AL,national_activity,-0.8419937660367526,qoq_ann
2016-12-31,AL,payroll,-0.6600928896893842,qoq_ann
2016-12-31,AL,coincident,0.2740902053283111,qoq_ann
2016-12-31,AL,claims,0.016492737888773115,qoq_ann
2016-12-31,AL,national_activity,-0.7662961093500208,qoq_ann
2017-03-31,AL,payroll,0.4978550709596515,qoq_ann
2017-03-31,AL,coincident,3.69624811244301,qoq_ann
2017-03-31,AL,claims,-0.5093162928919771,qoq_ann
2017-03-31,AL,national_activity,-0.6888973817265078,qoq_ann
2017-06-30,AL,payroll,-0.28785015729544416,qoq_ann
2017-06-30,AL,coincident,2.497043116813539,qoq_ann
2017-06-30,AL,claims,-0.006409637636772964,qoq_ann
2017-06-30,AL,national_activity,-0.6100810949890111,qoq_ann
2017-09-30,AL,payroll,-0.16257020429314162,qoq_ann
2017-09-30,AL,coincident,1.7560374870876272,qoq_ann
2017-09-30,AL,claims,-0.3571487693753346,qoq_ann
2017-09-30,AL,national_activity,-0.5358009974162643,qoq_ann
2017-12-31,AL,payroll,-0.32012237924375103,qoq_ann
2017-12-31,AL,coincident,-0.5193699035170012,qoq_ann
2017-12-31,AL,claims,0.10288693058118492,qoq_ann
2017-12-31,AL,national_activity,-0.46095387619792205,qoq_ann
2018-03-31,AL,payroll,0.361935869717349,qoq_ann
2018-03-31,AL,coincident,-0.8748363578154383,qoq_ann
2018-03-31,AL,claims,-0.46900759787382257,qoq_ann
2018-03-31,AL,national_activity,-0.37845193576406977,qoq_ann
2018-06-30,AL,payroll,0.48245286591808484,qoq_ann
2018-06-30,AL,coincident,-0.6485394581409814,qoq_ann
2018-06-30,AL,claims,0.05774926168529981,qoq_ann
2018-06-30,AL,national_activity,-0.2925478534566559,qoq_ann
2018-09-30,AL,payroll,-0.05863055399159016,qoq_ann
2018-09-30,AL,coincident,-0.34136138390487847,qoq_ann
2018-09-30,AL,claims,-0.37244720249074864,qoq_ann
2018-09-30,AL,national_activity,-0.2140150785419569,qoq_ann
2018-12-31,AL,payroll,-0.044433557778448575,qoq_ann
2018-12-31,AL,coincident,-0.3346939034335706,qoq_ann
2018-12-31,AL,claims,0.04465060497626256,qoq_ann
2018-12-31,AL,national_activity,-0.14994140658989097,qoq_ann
2019-03-31,AL,payroll,0.3246951711477074,qoq_ann
2019-03-31,AL,coincident,2.4874887267855432,qoq_ann
2019-03-31,AL,claims,-0.3734111690857795,qoq_ann
2019-03-31,AL,national_activity,-0.08076452182748456,qoq_ann
2019-06-30,AL,payroll,0.1133567982418562,qoq_ann
2019-06-30,AL,coincident,1.8510942922260367,qoq_ann
